canddt_name_2014,caddi_sex_2014,cnddt_age_2014,canddt_category_2014
GOVADA VIJAYA KUMARI,F,38,SC
THOTA CHANDRA SEKHAR,M,52,GEN
MENDEM SANTOSH KUMAR ( PEDABABULU),M,39,SC
U .V. RAMA RAO,M,47,GEN
SAVANAPUDI NAGARAJU,M,55,SC
K.V.V.SATYANARAYANA,M,68,GEN
GANGADHARA RAO NANNAPANENI,M,65,GEN
JULURI BHASKARA VEERA VENKATA ANIL KUMAR GUPTA,M,34,GEN
K.VIJAYA LAKSHMI PANDIT,F,50,GEN
U VENKATESWARARAO (U.V),M,48,GEN
C.V.SARADA DEVI,F,53,GEN
KONAKALLA NARAYANA RAO,M,64,GEN
PRASADA RAO PEGGEM,M,37,SC
SISTLA RAMESH,M,51,GEN
KAMMILI SRINIVAS,M,42,GEN
KOLUSU PARTHA SARATHY,M,48,GEN
VADAPALLI RAGHUNADH,M,63,GEN
JAMPANA SRINIVASA GOUD,M,48,GEN
PARASA SRINIVASA RAO,M,35,GEN
MOHAMMAD ISHAQ,M,41,GEN
YUNDURI SUBRAMANYASWARA RAO (MANI),M,55,GEN
YARLAGADDA RAMA MOHAN RAO,M,51,GEN
AVINASH DEVINENI,M,26,GEN
KESINENI SRINIVAS (NANI),M,48,GEN
CHIGURUPATI RAMALINGESWARA RAO,M,37,GEN
ISHWARYA LAKSHMI CHINNAM,F,35,GEN
KAMBALA. SUBRAHMANYAM (SASTRY),M,39,GEN
KONERU RAJENDRA PRASAD,M,63,GEN
RAJA KUMARI GUNDAPANENI,F,54,GEN
SUNKARA KRISHNA MURTHY,M,51,GEN
HAR MOHINDER SINGH SAHANI,M,62,GEN
ALTAF ALI MOHAMED,M,36,GEN
AHMED ANSARI SYED,M,58,GEN
P.V. KRISHNAIAH,M,56,GEN
KONERU RAJENDRA PRASAD,M,42,GEN
KONERU RAMACHANDRA PRASAD,M,42,GEN
CHATRAGADDA PRATAP,M,25,GEN
TATINENI SRINIVASA RAO,M,55,GEN
DASARI VENKATA NAGESH,M,50,GEN
M.PHANI PRAKASH,M,61,GEN
BOLISETTY HARIBABU,M,55,GEN
V.R.K.MURTHY.,M,72,GEN
YARAM KATAM RAJU,M,52,SC
SURAPANENI SARATBABU,M,64,GEN
ABDUL WAHEED SHAIK,M,44,GEN
JAYADEV GALLA,M,48,GEN
MALLELA BABU RAO,M,60,SC
ABBURI KOTESWARA RAO,M,49,GEN
EMANI CHANDRA SEKHAR RAO,M,47,SC
UDAIA KUMAR MUSUKU,M,57,GEN
KATA VEERA VARA PRASAD,M,44,GEN
DR. KOUTHARAPU RAVINDRA,M,50,GEN
BALASHOWRY VALLABHANENI,M,45,GEN
MALLELA VENKATA RAO,M,48,SC
ARUDALA VENKATESWARA RAO,M,41,GEN
BITRA VENKATA SIVANNARAYANA,M,36,GEN
KONDAPALLI VENKATESWARLU,M,58,GEN
MEKALA HANUMANTHA RAO YADAV,M,35,GEN
SAMBASIVA RAO RAYAPATI,M,70,GEN
AKKI REDDY BHIMANADULA,M,33,GEN
AYODHYA RAMIREDDY ALLA,M,50,GEN
YELURI SRILATHA,F,28,GEN
ROSAIAH SIVAPARAPU,M,42,GEN
KANUMURI KOTESWARA RAO,M,45,SC
JANGALA SINGARAIAH YADAV,M,38,GEN
PARUVURI RAMESH,M,29,GEN
RAVU SUBRAHMANYAM,M,37,GEN
DWARAPALLI PHILIP,M,45,SC
PANABAKA LAKSHMI,F,55,SC
MALYADRI SRIRAM,M,60,SC
EDA CHENNAIAH,M,39,SC
PERLI PRASANNA DEEVENA KUMAR (PRASANNA),M,48,SC
YALLAMATI RAMESH,M,25,SC
VARIKUTI AMRUTHAPANI,M,54,SC
R.D.WILSON,M,47,SC
GADDE THYAGARAJU,M,44,SC
GOGULAMUDI NARASIMHA RAO,M,34,SC
NAKKALA VEERANJANEYULU,M,39,SC
BANDELA NAGESWARA RAO,M,31,SC
BABURAO GOLLA,M,41,SC
RATNABABU MAMIDI,M,29,SC
KRISHNA RAO VEMULA,M,34,GEN
DARISI PAVAN KUMAR,M,52,GEN
MAGUNTA SREENIVASULU REDDY,M,60,GEN
GOLLAPALLI KISHORE KUMAR REDDY,M,35,GEN
PAMMI VENKA REDDY,M,39,GEN
S.S.N.RAJA YADAV,M,55,GEN
Y.V.SUBBA REDDY,M,53,GEN
KAVURI VENUBABU NAIDU,M,37,GEN
KIRAN DASARANNA MATTEGUNTA,M,32,GEN
CHAPALA VENKATA RAO,M,30,GEN
DAMA MOHAN RAO,M,58,GEN
PIDAPARTHI MADHUSUDHANA REDDY,M,34,GEN
B. BALAJEE RAO,M,44,GEN
BELLAMKONDA VENKATRAO,M,46,GEN
RADHAKRISHNA SOMISETTY,M,43,GEN
OBULESU THUDUM,M,38,SC
N.MD.FAROOK,M,62,GEN
B.Y.RAMAIAH,M,48,GEN
ULLAGI DAVID JAYA KUMAR,M,56,GEN
NOSSAM MALLIKARJUNA REDDY,M,30,GEN
S.P.Y REDDY,M,64,GEN
P.V.N. REDDY,M,36,GEN
K.P.KAMBAGIRI SWAMI,M,33,GEN
GADDALA BALASWAMY,M,42,SC
P.NARENDRA DEV,M,49,SC
I.V PAKKIRA REDDY,M,62,GEN
PIDISELA VIJAY KUMAR,M,37,SC
M RAMANA REDDY,M,50,GEN
VANGALA SREENIVASA REDDY,M,44,GEN
KOTLA JAYASURYAPRAKASH REDDY,M,62,GEN
B.T. NAIDU,M,42,GEN
R.J.MALLIKAL,M,43,SC
KONDIPARTHI .VENKAT  PRASAD,M,37,GEN
G.JAKEER HUSSAIN,M,35,GEN
NAGELLA ELIA,M,76,GEN
NOOR AHMED MADANI,M,55,GEN
BUTTA RENUKA,F,42,GEN
VISSA KIRAN KUMAR,M,40,GEN
KOTHURU.SATYANARAYANA GUPTA,M,47,GEN
D CHAND BASHA,M,37,GEN
D YUGANDHAR,M,45,GEN
ANIL CHOWDARY.  P,M,46,GEN
KASANI NAGARAJU,M,40,SC
J.C. DIVAKAR REDDI,M,70,GEN
ANANTHA VENKATARAMIREDDY,M,57,GEN
T.KULDEEP CHOWDARY,M,60,GEN
PAVAN KUMAR,M,27,GEN
BUZIREDDY VENUGOPAL REDDY,M,51,GEN
BOYA ANIL KUMAR,M,26,GEN
G. LALITHA,F,51,GEN
G. NAGARAJU,M,37,ST
B. SRINIVASULU,M,47,GEN
SHAIK. MOHAMMAD SHAFI.,M,54,GEN
D. SOMANATH,M,46,GEN
KRISTAPPA NIMMALA,M,57,GEN
G.C VENKATARAMUDU,M,54,GEN
ANAND,M,28,GEN
AMUDALA SUBRAMANYAM,M,48,GEN
DUDDUKUNTA SREEDHAR REDDY,M,43,GEN
K.MOHAMMAD SHAMEER BASHA,M,39,GEN
APPIREDDYGARI KONDA REDDY,M,41,GEN
ASADULLAH K.M,M,61,GEN
CHINTA SARATH KUMAR REDDY,M,31,GEN
K.PEDDA REDDI,M,48,GEN
MADDIPATLA SUDHAKAR NAIDU,M,43,GEN
AJAYA KUMAR VEENA,M,51,GEN
MALIKIREDDY. HANUMANTHA REDDY,M,35,GEN
SRINIVASA REDDY REDDEPPAGARI,M,46,GEN
Y.S. AVINASH REDDY,M,29,GEN
YELLIPALEM RAMESH.REDDY,M,46,GEN
GAJJALA.RAMA SUBBA REDDY,M,61,GEN
PUTHA. LAKSHMI REDDY,M,26,GEN
B. PULLAIAH,M,65,SC
RACHINENI. VENUGOPAL,M,36,GEN
G.V.A.K. REDDY,M,40,GEN
VARADI SOBHARANI,F,42,SC
DR. SHAIK GHOUSE PEER,M,52,GEN
SAJID HUSSAIN,M,50,GEN
POREDDY PRABHAKARA REDDY,M,48,GEN
ADALA PRABHAKARA REDDY,M,64,GEN
NARAYANA REDDY VAKATI,M,51,GEN
PATTAPU RAVI,M,56,SC
KOLATI GOPINATH,M,33,GEN
CHEMIKALA TIRUPATI,M,43,GEN
CHANDRA SEKHAR YADAV,M,45,GEN
MEKAPATI RAJAMOHAN REDDY,M,69,GEN
SYED HANEEF,M,43,GEN
ANANDA RAO SOMPALLI,M,52,GEN
NAVEEN SUKPALLI,M,27,SC
PANDHITI SUBBAIAH,M,42,SC
MALLI VENKATESWARLU,M,39,GEN
MALYADRI RAVULAKOLLU,M,31,GEN
MEDA MALLA REDDY,M,63,GEN
KARUMANCHI JAYARAM,M,54,SC
KOTHAPALLI SUBRAMANYAM,M,45,SC
CHINTA MOHAN,M,59,SC
"DR. U RAMACHANDRA, M.B.B.S",M,43,SC
DEGALA SURYA NARAYANA,M,39,SC
NEERUGUTTA NAGESWARA,M,26,SC
VARAPRASAD RAO VELAGAPALLI,M,61,SC
M SOLMON,M,60,SC
KATTAMANCHI PRABHAKAR,M,46,SC
KALAVAPALLI SAHADEVAIAH,M,46,SC
THYDULA SUBBARAMAIAH,M,74,SC
NUNE VENGAIAH,M,56,SC
K.S. MUNIRATHNAM,M,60,SC
SONGA RATNAMMA,F,54,SC
ANNAYYAGARI SAI PRATHAP,M,69,GEN
D.  PURANDESWARI,F,53,GEN
VENKATA SUBBAIAH NALLUGARI,M,37,SC
N.  DEVA,M,33,GEN
S NARENDRA BABU,M,31,SC
P.V.MIDHUN REDDY,M,36,GEN
G.MUJEEB HUSSAIN,M,56,GEN
V PATTABHI,M,56,GEN
SHAIK JEELANI SAHEB,M,60,GEN
JITHENDRA KUMAR.DHANDU,M,38,SC
NARAMALLI SIVAPRASAD,M,62,SC
DR.B.RAJAGOPAL,M,64,SC
UDAYA C.S,F,34,SC
P. PUSHPA RAJ,M,57,SC
G.SAMANYAKIRAN,F,35,SC
S. ANJAPPA,M,43,SC
GICHO KABAK,M,49,ST
GUMJUM HAIDER,M,36,ST
JALLEY SONAM,M,33,ST
KIREN RIJIJU,M,42,ST
TAKAM SANJOY,M,47,ST
HABUNG PAYENG,M,56,ST
TABA TAKU,M,34,ST
SUBU KECHI,M,40,ST
NINONG ERING,M,55,ST
TAPIR GAO,M,49,ST
WANGMAN LOWANGCHA,M,54,ST
KRISHNA DAS,M,45,SC
RABINDRA NATH CHOUDHURY,M,74,SC
RADHESHYAM BISWAS,M,59,SC
LALIT MOHON SUKLABAIDYA,M,72,SC
TARUN KUMAR DAS,M,61,SC
PROBASH CH. SARKAR,M,41,SC
RINKU MALAKAR,M,39,SC
GOUTAM MALAKAR,M,30,SC
PINTU MALAKAR,M,43,SC
PRADIP SUKLABAIDYA,M,35,SC
MAHANANDA DAS,M,50,SC
SAJALENDU MALAKAR,M,39,SC
SANJIT KUMAR DAS,M,39,SC
SABUJ DAS,M,39,SC
SUJIT MALLICK,M,40,SC
KABINDRA PURKAYASTHA,M,82,GEN
KUTUB AHMED MAZUMDER,M,74,GEN
BIJOY KRISHNA NATH,M,70,GEN
REJAMOND ALI BARBHUIYA,M,52,GEN
SUSHMITA DEV  ,F,41,GEN
ARUNANGSHU BHATTACHARJEE,M,55,GEN
ABDUL MANNAN BARBHUIYA,M,56,GEN
WAZID REJA OSMANI,M,35,GEN
NILU MANDOL,M,38,SC
RASHID AHMED LASKAR,M,28,GEN
UPENDRA CHANDRA DAS,M,44,SC
KAMAL DAS,M,39,SC
JAYANTA MALLICK,M,41,SC
NIRUPAM MANDAL,M,31,SC
MADHU SUDHAN DAS,M,48,SC
SHUVADIP DATTA,M,48,GEN
SUKAMAL DAS,M,28,SC
JOY RAM ENGLENG,M,54,ST
BIREN SINGH ENGTI,M,74,ST
ASHWENG J. RENGMA,M,56,ST
PRATIMA ENGHEEPI,F,39,ST
CHOMANG KRO,M,48,ST
ANOWAR HUSSAIN,M,45,GEN
WAZED ALI CHOUDHURY,M,52,GEN
DR. DEBAMOY SANYAL,M,55,GEN
BADRUDDIN AJMAL,M,59,GEN
AZMAL HUSSAIN,M,53,GEN
YOUSUB ALI AHMED,M,66,GEN
KASIR UDDIN SK.,M,63,GEN
SURAT JAMAN MONDAL,M,60,GEN
ZESMINA KHATUN,F,26,GEN
ALI HUSSAIN,M,36,GEN
KASHEM ALI AKONDA,M,30,GEN
MONIRUL HUSSAIN,M,30,GEN
MOHAR UDDIN MONDAL,M,44,GEN
MOHENDRA CHANDRA ROY,M,43,GEN
RAM EKBAL SHAHANI,M,62,GEN
CHANDAN BRAHMA,M,44,ST
RANJIT SHEKHAR MOOSHAHARY,M,68,ST
URKHAO GWRA BRAHMA,M,51,ST
NABA KUMAR SARANIA (HIRA),M,45,ST
SABDA RAM RABHA,M,45,ST
SANSUMA KHUNGGUR BWISWMUTHIARY,M,53,ST
ISMAIL HUSSAIN,M,60,GEN
UDDHAB BARMAN,M,69,GEN
CHANDRA MOHAN PATOWARY,M,56,GEN
SIRAJ UDDIN AJMAL,M,67,GEN
PHANI BHUSAN CHOUDHURY,M,62,GEN
ABUL AWAL,M,42,GEN
ENTAZ ALI,M,51,GEN
KHURSHIDA ANOWARA BEGUM,F,62,GEN
DR. PERVEZ ALI AHMED,M,65,GEN
KAMAL UDDIN,M,66,GEN
GAUTAM KUMAR SARMA,M,51,GEN
SAMSUL HOQUE,M,53,GEN
DILIR KHAN,M,45,GEN
BARUN KARMAKAR,M,36,SC
BHADRESWAR BARMAN,M,40,GEN
GOPI NATH DAS,M,53,SC
BIJOYA CHAKRAVARTY,F,75,GEN
BIRENDRA PRASAD BAISHYA,M,57,GEN
MANASH BORAH,M,33,GEN
KAZI NEKIB AHMED,M,55,GEN
GOPI BARUAH,M,44,GEN
PRANJAL BORDOLOY,M,43,GEN
BANDANA BARMAN BARUAH,F,30,GEN
BIJU PHUKAN,M,66,GEN
ANIL BHAGAWATI,M,40,GEN
AJAD ALI,M,43,GEN
KHARGESWAR DAS,M,43,SC
MD. ZAKIR HUSSAIN,M,47,GEN
DHIRAJ MEDHI,M,40,GEN
PADMESHWAR PHUKAN,M,56,GEN
PRADIP KALITA,M,45,GEN
DR. FARUK AAHAMMED BHUYAN,M,40,GEN
BENEDICT ALOK ARENG,M,68,ST
KIRIP CHALIHA,M,59,GEN
PARESH BAISHYA,M,43,SC
MADHAB RAJBANGSHI,M,58,GEN
RAMEN DEKA,M,59,GEN
SAHADEV DAS,M,49,GEN
AROON BAROOA,M,58,GEN
DEBA KUMAR BARMAN,M,42,GEN
NAMRATA SARMA,F,34,GEN
RATUL KUMAR CHOUDHURY,M,47,GEN
SWARNALATA CHALIHA,F,38,GEN
SAHNUR ALI,M,53,GEN
SHACHINDRA NATH BRAHMA,M,60,ST
BHUPEN KUMAR BORAH,M,43,GEN
JOSEPH TOPPO,M,65,GEN
RAM PRASAD SARMAH,M,58,GEN
KHEMRAJ CHETRY,M,55,GEN
GOPI CHAND SHAHABADI,M,69,GEN
RAJEN SAIKIA,M,54,GEN
LAKSHIKANTA KURMI,M,36,GEN
ELIAS KUJUR,M,42,GEN
MONI KUMAR SUBBA,M,56,GEN
DR. ADITYA LANGTHASA,M,48,ST
JONJONALI BARUAH,F,55,GEN
MRIDULA BARKAKOTY,F,53,GEN
RAJEN GOHAIN ,M,63,GEN
DIPAK KUMAR BORAH,M,50,GEN
RAFIQUL ISLAM,M,26,GEN
SELIMA SULTANA,F,28,GEN
FARUK HAZARIKA,M,42,GEN
